common常见贴图
sprite_common_activestatus.NPK                              异常状态效果
sprite_creature_princess_petit.NPK                          只会一踢的小公主
sprite_creature_psy.NPK                                     迷你思密达
sprite_creature_rat_female.NPK                              淘气鼠
sprite_creature_rat_male.NPK                                欢乐鼠
sprite_creature_raum.NPK                                    劳姆
sprite_creature_reva_crusader.NPK                           纸片人圣骑-空的
sprite_creature_reva_necro.NPK                              纸片人死灵-空的
sprite_creature_reva_nenma.NPK                              纸片人气功师-空的
sprite_creature_reva_ranger.NPK                             纸片人漫游-空的
sprite_creature_reva_soul.NPK                               纸片人鬼泣-空的
sprite_creature_reva_witch.NPK                              纸片人魔道-空的
sprite_creature_rudolph.NPK                                 叮叮和当当、两个鹿而已
sprite_creature_sdcharacter_atfighter.NPK                迷你男气功
sprite_creature_sdcharacter_atgunner.NPK                  迷你女漫
sprite_creature_sdcharacter_atmage.NPK                      迷你男法
sprite_creature_sdcharacter_atswordman.NPK                迷你女鬼剑士
sprite_creature_sdcharacter_creator.NPK                      迷你缔造者
sprite_creature_sdcharacter_darknight.NPK                   迷你黑暗武士
sprite_creature_sdcharacter_fighter.NPK                            迷你女气功
sprite_creature_sdcharacter_fighterat.NPK                         迷你男气功
sprite_creature_sdcharacter_ghostknight.NPK                   迷你鬼泣
sprite_creature_sdcharacter_gunner.NPK                            迷你男漫
sprite_creature_sdcharacter_gunnerat.NPK                        迷你女漫
sprite_creature_sdcharacter_mage.NPK                               迷你魔道
sprite_creature_sdcharacter_priest.NPK                               迷你圣骑
sprite_creature_sdcharacter_swordman.NPK                      迷你鬼泣
sprite_creature_sdcharacter_thief.NPK                                 迷你死灵
sprite_creature_sdcharacters_fighter.NPK                    迷你气功师
sprite_creature_sdcharacters_fighterat.NPK                  迷你男气功
sprite_creature_sdcharacters_ghostknight.NPK                迷你鬼泣
sprite_creature_sdcharacters_gunner.NPK                     迷你漫游
sprite_creature_sdcharacters_gunnerat.NPK                   迷你女漫
sprite_creature_sdcharacters_mage.NPK                       迷你魔道
sprite_creature_sdcharacters_priest.NPK                     迷你圣骑
sprite_creature_sdcharacters_thief.NPK                      迷你死灵
sprite_creature_silverpig.NPK                               银色猪
sprite_creature_sledgerudolph.NPK                           乘雪橇的叮叮和当当
sprite_creature_spiritgoblin.NPK                            精灵哥布林
sprite_creature_tcgfairy.NPK                                小精灵TCGW和TCGE
sprite_creature_unicorn.NPK                                 星光独角兽
sprite_creature_valefor.NPK                                 华利弗
sprite_creature_woodendoll.NPK                     木头人
sprite_creature_zagan.NPK                                   撒共

interface2事件贴图
sprite_interface2.npk                                       大地图
sprite_interface2_auction.npk                               拍卖行系统界面
sprite_interface2_aura.npk                                  光环系统界面
sprite_interface2_awakening2.NPK                                 二次觉醒窗口
sprite_interface2_awakening2_awakening_cha.NPK                二次觉醒特写
sprite_interface2_awakening2_awakening_txt.NPK                     二次觉醒名称
sprite_interface2_awakening.NPK                                   初次觉醒窗口
sprite_interface2_awakening_awakening_txt.NPK                 初次觉醒名称
sprite_interface2_battledungeon.npk                         格林赛罗斯战场界面
sprite_interface2_cartelcommand.NPK               卡勒特指挥部跳下去时的进度条
sprite_interface2_ceraitem.npk                             心愿宝盒活动
sprite_interface2_channel_channelselect.NPK        活动频道选择：生化禁区、吉赛尔袭击
sprite_interface2_channel_channelselect_channelbackground.npk  频道选择时的使徒背景
sprite_interface2_channel_channelselect_channelbase.npk            频道选择时的向导
sprite_interface2_channel_channelselect_channelinfo.NPK        新型的频道选择
sprite_interface2_channel_channelselect_channelslot.npk     频道背景
sprite_interface2_channel_serverselect_base.npk             暂时是空的
sprite_interface2_channel_serverselect_server_bg.npk        暂时是空的
sprite_interface2_channel_serverselect_serverslot.npk       暂时是空的
sprite_interface2_charactercreate.npk                       创建新角色时的界面
sprite_interface2_chn_qqpcbenefitreward.NPK       龙跃武器升级的窗口
sprite_interface2_classchange.npk                           转职视频界面背景
sprite_interface2_classchange_classchange_bt.npk            转职视频界面的选择职业按钮
sprite_interface2_classchange_classchange_cha.npk           转职视频界面的职业特写
sprite_interface2_classchange_classchange_txt.npk           转职视频界面的职业描述
sprite_interface2_comiccut.npk                  新角色刚进入游戏的开场动画
sprite_Interface2_common_digit.NPK                         4种数字
sprite_interface2_common_digit_pvp_room_number.npk          决斗场的数字
sprite_interface2_common_digit_upgrade_number.NPK             数字、红色、灰色
sprite_interface2_countdown.npk               刷图死后用点卷买复活币窗口
sprite_interface2_cs_shop.npk                               商城按钮
sprite_interface2_cutscene_pvp_versus.npk                   决斗等待界面
sprite_interface2_deathtower.npk                            亡者峡谷的塔通关界面
sprite_interface2_dualraid.NPK                              吉赛尔袭击活动贴图
sprite_interface2_dualraid_dualraid_matching.NPK                吉赛尔袭击活动背景
sprite_interface2_dualraid_dualraid_minimap.NPK                吉赛尔袭击活动地图
sprite_interface2_dungeonexercise.npk                       练习模式和勇者模式的背景
sprite_interface2_dungeonloading.npk                        地图载入时的读条和提醒
sprite_interface2_etc.npk                                   几个图标
sprite_interface2_event_2011_chuseok.npk                    树咯
sprite_interface2_event_2013_06_firework_cn.NPK                5周年烟花、礼盒
sprite_interface2_event_banner.NPK                                  第四季宣传图片
sprite_interface2_event_bingo.NPK                                         1种活动  
sprite_interface2_event_bluemarble.NPK                        充满韩文的图片
sprite_interface2_event_childrensday.NPK                    韩服活动
sprite_interface2_event_chn_daily_mission_gift.NPK          2013年1月每日任务活动
sprite_interface2_event_chn_event_dnf_settlement_2013.NPK           勇者归来任务
sprite_interface2_event_chn_golden_fruittree_2012.NPK              树
sprite_interface2_event_christmas_santa.npk                     圣诞老人
sprite_interface2_event_christmas_seriaroom_deco.npk       某年圣诞的赛丽亚及房间
sprite_interface2_event_christmas_tree_plaza.npk            某年圣诞活动
sprite_interface2_event_christmas_tree_seriaroom.npk        某年圣诞活动
sprite_interface2_event_common.NPK                      1张韩服图片      
sprite_interface2_event_destroydungeon.NPK                    泰拉遗迹活动
sprite_interface2_event_dnfstudyexam.NPK                         韩服活动
sprite_interface2_event_event_2011_christmas_santa.NPK     又系圣诞老人
sprite_interface2_event_event_2011_christmas_seriaroom_deco.NPK  某年圣诞活动
sprite_interface2_event_event_2011_christmas_tree_plaza.NPK某年圣诞活动
sprite_interface2_event_event_2011_christmas_tree_seriaroom.NPK 某年圣诞活动
sprite_interface2_event_event_2011_halloween.NPK            某些活动机械
sprite_interface2_event_event_2011_planning_atmage.NPK      充满韩文的图片
sprite_interface2_event_event_2013_blessofgirls.NPK                      冷夜之气息
sprite_interface2_event_event_2013_characterday.NPK         2013夏日明星活动
sprite_interface2_event_event_2013_daily_quiz.NPK               2013答题活动
sprite_interface2_event_event_2013_darkknightpuzzle.NPK   拼图
sprite_interface2_event_event_2013_fairytail.NPK                         妖精的尾巴
sprite_interface2_event_event_2013_fortune_cookie.NPK       切蛋糕？
sprite_interface2_event_event_2013_levelupgift.NPK                  缔造者升级活动
sprite_interface2_event_event_2013_newpu.NPK                        礼盒
sprite_interface2_event_event_2013_newyear_firework.NPK   放连炮？
sprite_interface2_event_event_2013_ria_letter.NPK                    给哥哥的信活动
sprite_interface2_event_event_2013_roger_auction.NPK             罗杰的私人拍卖活动
sprite_interface2_event_event_2013_summereventawaken.NPK              夏日觉醒活动
sprite_interface2_event_event_2013_userchoice.NPK                 2013 6月整点活动
sprite_interface2_event_event_map.NPK                         一些 充满韩文的图片
sprite_interface2_event_event_map_countdown.NPK        某数字
sprite_interface2_event_event_map_digit.NPK                  某数字
sprite_interface2_event_event_map_eventmap_countdown.NPK某数字
sprite_interface2_event_event_map_eventmap_dice.NPK       色仔
sprite_interface2_event_event_map_eventmap_result.NPK    一些韩文
sprite_interface2_event_eventserver.npk                    赛丽亚+韩文
sprite_interface2_event_fatigueaccelerate.NPK             某某活动
sprite_interface2_event_freelygiveitem.NPK                 韩服小鸡活动
sprite_interface2_event_givegrowcreature.NPK          某种活动
sprite_interface2_event_growcapsule.NPK                   与上一个文件对应
sprite_interface2_event_growthitem.NPK                   时间沙漏
sprite_interface2_event_halloween.npk                      某种机械
sprite_interface2_event_jumpingcharacter.NPK       充满韩文的图片
sprite_interface2_event_lank_event.NPK                       评分
sprite_interface2_event_mileageshop.NPK                    小鸡、小鸟~~
sprite_Interface2_event_OccupyDungeon.NPK                   攻占阿拉德的活动界面
sprite_interface2_event_ontimeevent4rd.npk                 几个圆圈+韩文
sprite_interface2_event_packagebounsevent.NPK          两张充满韩文的图片
sprite_interface2_event_pandorabox.NPK                     ipone~~~
sprite_interface2_event_partyplay.NPK                           充满韩文的图片
sprite_interface2_event_planningatmage.npk                  充满韩文的图
sprite_interface2_event_privateinfomation.NPK               韩服活动
sprite_interface2_event_racing.NPK                                      跑酷活动
sprite_interface2_event_rentalservice.NPK                       韩国版扩展技能框
sprite_interface2_event_returngiftinfo.NPK                     夏日赛丽亚图片*1
sprite_interface2_event_roguerenewal.NPK               图片意思：40→50→60→75
sprite_interface2_event_secondawakening.NPK                 两张充满韩文的图片
sprite_interface2_event_seriaroomanimationdecoration.NPK      LUCKY图片~~
sprite_interface2_event_stepattendance.NPK               龙跃武器升级的窗口
sprite_interface2_global_navigation_community.npk           社交的导航按钮
sprite_interface2_global_navigation_contents.npk            活动的导航按钮
sprite_interface2_global_navigation_extrafeature.npk        常用的导航按钮
sprite_interface2_global_navigation_gameoption.npk          游戏的导航按钮
sprite_interface2_global_navigation_myinfomenu.npk          个人的导航按钮
sprite_interface2_global_navigation_short_btn.npk           右中方的导航按钮
sprite_interface2_hud.npk                                   血槽
sprite_interface2_hud_aura_gauge.npk                        宠物技能冷却条
sprite_interface2_hud_creature_gauge.npk                    宠物饥饿度条
sprite_interface2_hud_creature_icon.npk                     宠物图标
sprite_interface2_hud_information_button.npk                血条上的导航按钮
sprite_interface2_hud_luck_gauge.npk                        用动画播放看看~
sprite_interface2_hud_luck_icon.npk                         世界仪图标
sprite_interface2_hud_party_icon.npk                        队伍情况信息
sprite_interface2_hud_party_info.npk                        也是队队伍情况信息
sprite_interface2_ingameadvertisement.NPK                     彩色球
sprite_interface2_itemdictionary.npk                        装备词典界面
sprite_interface2_itemtoolwindow_windows4.npk        强化、分解、封装等窗口界面
sprite_interface2_keyoption.npk                             设置快捷键的窗口界面
sprite_interface2_loading_dungeon.NPK                   韩服框~
sprite_interface2_mercenary.npk                             佣兵系统界面
sprite_interface2_messenger.npk                             邀请界面
sprite_interface2_minimap_dungeon.npk                       右上角小地图
sprite_interface2_minimap_dungeon_champion_gage.NPK     右上角的精英奖励进度
sprite_interface2_minimap_dungeon_champion_gage_fire_eff.NPK    右上角的精英奖励火焰
sprite_interface2_minimap_town.npk                          光环的传送选择界面
sprite_interface2_nowloading.npk                            服务器载入界面
sprite_interface2_nowloading_intro.npk                    DNF动画
sprite_interface2_nowloading_review grade.npk              一些韩文
sprite_interface2_pcroomupgrade.NPK                     一些韩文
sprite_interface2_pk_intown.npk                           街头争霸waitting
sprite_interface2_popup.npk                                 鼠标的导航选择
sprite_interface2_popup_menu.NPK                   功能图标，强化+10活动
sprite_interface2_popup_upgraderoom.NPK                   韩服拍卖活动
sprite_interface2_popup_upgraderoom_title.NPK            韩服强化器
sprite_interface2_popup_upgraderoom_title_upgraderoom_titleeff.NPK闪亮的成功和失败窗
sprite_interface2_powerwar_rvr_assault_character_cut.npk    势力战的职业特写
sprite_interface2_powerwar_rvr_assault_counter_effect.npk   势力战的角色载入界面
sprite_interface2_powerwar_rvr_assault_lightning_effect.npk 势力战的角色载入界面特效
sprite_interface2_powerwar_rvr_point.npk                    势力战的对战信息
sprite_interface2_powerwar_rvr_powerwarloading.npk          势力战的载入读条界面
sprite_interface2_powerwar_rvr_powerwarresult.npk           势力战的奖励界面
sprite_interface2_powerwar_rvr_powerwarstatue.npk           势力战的角色铜像描述
sprite_interface2_privateinfomation.NPK
sprite_interface2_profile.npk                               个人信息界面
sprite_interface2_pvp02.NPK                                新版PK场搜索
sprite_interface2_pvp02_channel.NPK                    新版PK场频道选择
sprite_interface2_pvp02_ingame.NPK                      生化禁区活动
sprite_interface2_pvp02_loading.NPK                   新版PK场角色卡片，组队赛选择
sprite_interface2_pvp02_matching.NPK                   新版PK场目录
sprite_interface2_pvp02_matching_individual.NPK                  新版PK场个人战
sprite_interface2_pvp02_matching_leader.NPK                         新版PK场擂台赛
sprite_interface2_pvp02_matching_personvsperson.NPK                 新版PK场1对1
sprite_interface2_pvp02_matching_team.NPK                  新版PK场组队战
sprite_interface2_pvp02_matching_zombie.NPK                生化禁区插图
sprite_interface2_pvp02_result.NPK                              生化禁区角色列表
sprite_interface2_pvp02_result_zombie.NPK                         生化禁区贴图
sprite_interface2_pvp02_tournament.NPK                        素喃武斗大会选择
sprite_interface2_pvp_deathmatch.npk                   决斗场的生存模式队伍信息
sprite_interface2_pvp_pvp_1_vs_n_match.NPK              PK场强者模式的地图图标
sprite_interface2_pvp_pvp_fair.npk                          决斗场的导航按钮和提醒
sprite_interface2_pvp_pvp_loading.NPK                    跑酷、跑甩子等人的图片
sprite_interface2_pvp_pvp_practice.npk                      决斗场的练习房界面
sprite_interface2_pvp_pvp_result.npk                        决斗场的决斗奖励界面
sprite_interface2_pvp_pvp_roomlist.npk                      决斗场的模式选择界面
sprite_interface2_pvp_pvp_tournament02.npk                  决斗场的角色血条
sprite_interface2_quest.NPK                                      事件任务
sprite_interface2_quest_mission.NPK                                    奇遇任务
sprite_Interface2_RandomboxBooster.NPK                      心愿值
sprite_interface2_reportbaduser.npk                         举报系统界面
sprite_interface2_research.NPK                                 新增表情
sprite_interface2_result_ver2.0.npk                         通关奖励界面
sprite_interface2_result_ver2.0_rank_effect.npk             通关评分特效
sprite_interface2_result_ver2.0_rank_letter.npk             通关评分
sprite_interface2_result_ver2.0_result_eventtag.npk         通关奖励加成提示
sprite_interface2_reward_ver2.0.npk                         通关翻牌界面
sprite_interface2_secret shop.npk                           神秘商店界面
sprite_interface2_security_card.npk                         暂时是空的
sprite_interface2_selectcharacter.npk                       角色选择界面
sprite_interface2_selectcharacter_effect.npk                角色选择界面的特效
sprite_interface2_selectcharacter_link_system.npk           角色关联时的特效
sprite_interface2_selectdungeon.NPK                                      活动-抗魔值
sprite_interface2_selectdungeon_announcedungeonevent_cn.NPK    活动-抗魔值
sprite_interface2_selectdungeon_selectdungeonhell.npk       挑战深渊时的背景
sprite_interface2_shop.NPK                             第四季按物品店上的提示
sprite_interface2_shutdown.npk                             暂时是空的
sprite_interface2_specialdungeon_goldencommerce.NPK                 韩服活动
sprite_interface2_titlebook.npk                             成就薄系统界面
sprite_interface2_topsecretarea_timeload.NPK                          破坏转移装置噢~
sprite_interface2_tournament.npk                      青龙大会黄龙大会的载入界面
sprite_interface2_ui_community_guild.NPK              某些贴图
sprite_interface2_ui_eventlist.NPK                                    1些活动
sprite_interface2_ui_iteminfowindow.NPK                     龙跃武器经验条
sprite_interface2_ui_personalinformation.NPK               频道选择、装备槽
sprite_interface2_ui_skillshop.NPK                                    第四季技能栏
sprite_interface2_window_title_accessory.npk                各种系统栏左方图标

interface事件贴图
sprite_interface.NPK                                        界面相关
sprite_interface_actionpointsystem.NPK                      AP活跃度系统
sprite_interface_advancealtar_ingame.NPK             守护者祭坛进行时里面的图标
sprite_interface_advancealtar_result.NPK                    守护者祭坛的通关奖励界面
sprite_interface_advancealtar_selectstage.NPK               守护者祭坛的选择界面
sprite_interface_advancealtar_upgrade.NPK                   守护者祭坛的升级选择界面
sprite_interface_assault.NPK                              PK场角色1对1特写
sprite_interface_awakening.NPK                             暂时是空的
sprite_interface_bandi.NPK                                  1个很小的贴图
sprite_interface_battledungeon.NPK                          格林赛罗斯战场界面
sprite_interface_bloodwar.NPK                               无限的祭坛界面
sprite_interface_cashshop.NPK                               现金商城界面
sprite_interface_chaos.NPK                                  暂时是空的
sprite_interface_chatting.NPK                               聊天框
sprite_interface_chn_convenience.NPK                       修理按X提示
sprite_interface_chn_tournament.npk                         武斗大会的前往提示
sprite_interface_common_digit.NPK                           地图推荐等级的数字
sprite_interface_common_ridable.NPK                         变身活动
sprite_interface_digit.NPK                                  一些数字
sprite_interface_dot.NPK                                    有1点
sprite_interface_dungeonexercise.NPK                      暂时是空的
sprite_interface_dungeoninfo.NPK                          暂时是空的
sprite_interface_emoticon.NPK                               表情图标
sprite_interface_emotionexpression.NPK                      心情相关
sprite_interface_event.npk                                  六行合一
sprite_interface_event_popup.npk                           暂时是空的
sprite_interface_expertjob.NPK                              副职业相关界面与特效
sprite_interface_gbosstower.NPK                             领主之塔通关界面
sprite_interface_globalani.NPK                              完成事件时的特效
sprite_interface_globalnavigation.NPK                      暂时是空的
sprite_interface_goblinpad.NPK                            暂时是空的
sprite_interface_goldskill.NPK                              绝杀技系统界面
sprite_interface_iga_iga01.npk                              广告
sprite_interface_iga_iga02.npk                              广告
sprite_interface_iga_iga03.npk                              广告
sprite_interface_iga_iga04.npk                              广告
sprite_interface_iga_iga05.npk                              广告
sprite_interface_iga_iga06.npk                              广告
sprite_interface_iga_iga07.npk                              广告
sprite_interface_iga_iga08.NPK                             广告
sprite_interface_ingametool_soundtool.NPK             喇叭
sprite_interface_inputroompassword.NPK                      验证码输入
sprite_interface_itemlock.NPK                               物品锁
sprite_Interface_Localization_china.NPK                     魔王契约的高效开罐界面
sprite_interface_mission.NPK                                保护冰心和深渊开启提示
sprite_interface_monstercard.NPK                            附魔卡片
sprite_interface_monstercard_cn.NPK                           活动卡片
sprite_interface_mouseregister.NPK                          二级密保界面
sprite_interface_newresult.NPK                              通关奖励界面
sprite_interface_newstyle_windows.NPK           游戏鼠标和一些新的窗口界面 
sprite_interface_newstyle_windows_cerashop_cs_shop.npk      暂时是空的
sprite_interface_newstyle_windows_channel_serverselect.npk  暂时是空的
sprite_interface_newstyle_windows_chatting.NPK              新聊天界面
sprite_interface_newstyle_windows_common_digit.NPK          数字
sprite_interface_newstyle_windows_community.NPK             社交界面
sprite_interface_newstyle_windows_customui.npk              BUFF图标
sprite_interface_newstyle_windows_cutscene.NPK              暂时是空的
sprite_interface_newstyle_windows_event.NPK                 活动提示
sprite_interface_newstyle_windows_event_fighter.npk        暂时是空的
sprite_interface_newstyle_windows_globalnavigation.NPK      界面导航按钮
sprite_interface_newstyle_windows_guide.NPK                 游戏指南界面
sprite_interface_newstyle_windows_hud.NPK                   血条和地下城评分
sprite_interface_newstyle_windows_inventory.NPK             物品栏界面
sprite_interface_newstyle_windows_limitedcube.npk           暂时是空的
sprite_interface_newstyle_windows_mail.NPK                  新邮件箱界面
sprite_interface_newstyle_windows_monster_hp.npk            新版领主血条
sprite_interface_newstyle_windows_monsterskill.NPK          光辉之阿伽门农攻击特效
sprite_interface_newstyle_windows_party.NPK                 队伍界面
sprite_interface_newstyle_windows_popup.NPK          各种卷轴   弹出的选择按钮
prite_interface_newstyle_windows_profile.npk              暂时是空的
sprite_interface_newstyle_windows_pvp.NPK                  吉赛尔袭击活动
ssprite_interface_newstyle_windows_pvp_pvp_fair.npk          暂时是空的
sprite_interface_newstyle_windows_result_ver2.0.NPK         翻牌特效
sprite_interface_newstyle_windows_reward_ver2.0.NPK         新版通关奖励界面
sprite_interface_newstyle_windows_safe.NPK                  负重条
sprite_interface_newstyle_windows_safe_safe_title.npk       仓库顶条
sprite_interface_newstyle_windows_selectcharacter_link_system.NPK     角色关联特效
sprite_interface_newstyle_windows_selectdungeon.npk         角色共享地下城难度特效
sprite_interface_newstyle_windows_tarot_ui.NPK              使徒卡片，用于南部溪谷
sprite_interface_newstyle_windows_trade.NPK                 未翻译交易界面
sprite_interface_newstyle_windows_transport.NPK             技能（Z）
sprite_interface_newstyle_windows_tutorial.NPK              操作提示
sprite_interface_newwindowui.NPK                            频道选择等部分新界面
sprite_interface_option.NPK                                 Esc菜单
sprite_interface_powerwar.NPK                              暂时是空的
sprite_interface_pvp.NPK                           竞技场界面（包括练习房间）
sprite_interface_quest.NPK                                  任务的分类
sprite_interface_scheduledungeonquest.NPK                   限时副本开放提示
sprite_interface_securitycard.NPK                           韩服密保卡验证
sprite_interface_skillcutscene.NPK                          使用觉醒时的职业特写
sprite_interface_streetvictor.NPK                           街头争霸界面
sprite_interface_towersstoryimage.NPK                       死亡之塔的剧情文字
sprite_interface_tutorial02.NPK                           韩服角色动画
sprite_interface_tutorialtip.NPK                            暂时是空的
sprite_interface_userinfomation.NPK                         角色信息界面
sprite_interface_villageattacked.NPK                        城镇保卫战有关
sprite_internationalimage.NPK                               悬空怪物的空中标记

item图标
sprite_item.NPK                                             物品图标
sprite_item_avatar_atfighter.NPK                            男格斗时装图标
sprite_item_avatar_atgunner.NPK                             女神枪手时装图标
sprite_item_avatar_atmage.npk                               男法师时装图标
sprite_item_avatar_atswordman.NPK                       女鬼剑士时装图标
sprite_item_avatar_common.NPK                               通用时装图标
sprite_item_avatar_fighter.NPK                              格斗家时装图标
sprite_item_avatar_gunner.NPK                               男神枪手时装图标
sprite_item_avatar_mage.NPK                                 魔法师时装图标
sprite_item_avatar_priest.NPK                               圣职者时装图标
sprite_item_avatar_swordman.NPK                             鬼剑士时装图标
sprite_item_avatar_thief.NPK                                暗夜使者时装图标
sprite_item_common.NPK                           装备图标（地雷和落石机关）
sprite_item_creature.NPK                                    宠物相关图标
sprite_item_emblem.NPK                                      装备徽章图标
sprite_item_emoticon.NPK                                      新增聊天心情
sprite_item_nametag.NPK                                     名称装饰卡
sprite_item_new_equipment_01_weapon_fighter_bglove.NPK         70以上拳套图标
sprite_item_new_equipment_01_weapon_fighter_claw.NPK              70以上爪图标
sprite_item_new_equipment_01_weapon_fighter_gauntlet.NPK        70以上臂铠图标
sprite_item_new_equipment_01_weapon_fighter_knuckle.NPK      70以上指虎图标
sprite_item_new_equipment_01_weapon_fighter_tonfa.NPK         70以上东方棍图标
sprite_item_new_equipment_01_weapon_gunner_automatic.NPK   70以上自动步枪图标
sprite_item_new_equipment_01_weapon_gunner_bowgun.NPK      70以上手弩图标
sprite_item_new_equipment_01_weapon_gunner_hcannon.NPK        70以上手炮图标
sprite_item_new_equipment_01_weapon_gunner_musket.NPK          70以上步枪图标
sprite_item_new_equipment_01_weapon_gunner_revolver.NPK           70以上左轮图标
sprite_item_new_equipment_01_weapon_mage_broom.NPK           70以上扫把图标
sprite_item_new_equipment_01_weapon_mage_pole.NPK              70以上棍棒图标
sprite_item_new_equipment_01_weapon_mage_rod.NPK               70以上魔杖图标
sprite_item_new_equipment_01_weapon_mage_spear.NPK                70以上矛图标
sprite_item_new_equipment_01_weapon_mage_staff.NPK         70以上法杖图标
sprite_item_new_equipment_01_weapon_priest_axe.NPK            70以上战斧图标
sprite_item_new_equipment_01_weapon_priest_cross.NPK         70以上十字架图标
sprite_item_new_equipment_01_weapon_priest_rosary.NPK                70以上念珠图标
sprite_item_new_equipment_01_weapon_priest_scythe.NPK               70以上镰刀图标
sprite_item_new_equipment_01_weapon_priest_totem.NPK             70以上图腾图标
sprite_item_new_equipment_01_weapon_swordman_beamswd.NPK     70以上光剑图标
sprite_item_new_equipment_01_weapon_swordman_club.NPK            70以上钝器图标
sprite_item_new_equipment_01_weapon_swordman_katana.NPK         70以上太刀图标
sprite_item_new_equipment_01_weapon_swordman_lswd.NPK           70以上巨剑图标
sprite_item_new_equipment_01_weapon_swordman_sswd.NPK       70以上短剑图标
sprite_item_new_equipment_01_weapon_thief_dagger.NPK          70以上匕首图标
sprite_item_new_equipment_01_weapon_thief_twinswd.NPK       70以上双剑图标
sprite_item_new_equipment_01_weapon_thief_wand.NPK         70以上权杖图标
sprite_item_new_equipment_02_cloth_coat.NPK                  布甲-上衣
sprite_item_new_equipment_02_cloth_neck.NPK                  布甲-护肩
sprite_item_new_equipment_02_cloth_pants.NPK                  布甲-下装
sprite_item_new_equipment_02_cloth_shoes.NPK                  布甲-鞋子
sprite_item_new_equipment_02_cloth_belt.NPK                     布甲-腰带
sprite_item_new_equipment_03_leather_belt.NPK                     皮甲-腰带
sprite_item_new_equipment_03_leather_coat.NPK                  皮甲-上衣
sprite_item_new_equipment_03_leather_neck.NPK                  皮甲-护肩
sprite_item_new_equipment_03_leather_pants.NPK               皮甲-下装
sprite_item_new_equipment_03_leather_shoes.NPK                 皮甲-鞋子
sprite_item_new_equipment_04_larmor_belt.NPK                 轻甲-腰带
sprite_item_new_equipment_04_larmor_coat.NPK                轻甲-上衣
sprite_item_new_equipment_04_larmor_neck.NPK                 轻甲-护肩
sprite_item_new_equipment_04_larmor_pants.NPK                轻甲-裤子
sprite_item_new_equipment_04_larmor_shoes.NPK                轻甲-鞋子
sprite_item_new_equipment_05_harmor_belt.NPK                重甲-腰带
sprite_item_new_equipment_05_harmor_shoes.NPK               重甲-鞋子
sprite_item_new_equipment_05_harmor_coat.NPK                重甲-上衣
sprite_item_new_equipment_05_harmor_neck.NPK                 重甲-护肩
sprite_item_new_equipment_05_harmor_pants.NPK                   重甲-下装
sprite_item_new_equipment_06_plate_belt.NPK                  板甲-腰带
sprite_item_new_equipment_06_plate_pants.NPK                  板甲-下装
sprite_item_new_equipment_06_plate_neck.NPK                      板甲-护肩
sprite_item_new_equipment_06_plate_coat.NPK                       板甲-上衣
sprite_item_new_equipment_06_plate_shoes.NPK                   板甲-鞋子
sprite_item_new_equipment_07_ring.NPK                                 戒指
sprite_item_new_equipment_08_necklace.NPK                            项链
sprite_item_new_equipment_09_bracelet.NPK                           手腕
sprite_item_new_equipment_10_support.NPK                       辅助装备
sprite_item_new_equipment_11_magicstone.NPK                               魔法石
sprite_item_stackable.NPK                   消耗、材料、任务、商城道具等图标
sprite_item_throwitem.NPK                                   投掷道具的投掷效果
sprite_item_title.NPK                                       称号的佩戴效果和图标
sprite_item_weapon_fighter.NPK                              格斗家武器图标
sprite_item_weapon_gunner.NPK                               神枪手武器图标
sprite_item_weapon_mage.NPK                                 魔法师武器图标
sprite_item_weapon_priest.NPK                               圣职者武器图标
sprite_item_weapon_swordman.NPK                             鬼剑士武器图标
sprite_item_weapon_thief.NPK                                暗夜使者武器图标

map背景
sprite_map.NPK                          地图背景相关（赛利亚房间）
sprite_map_2013blob.NPK                                几颗珠和一些数字
sprite_map_abnoba_blackstone.NPK           女鬼剑士专属地图-黑石监狱及其里面的怪
sprite_map_abnoba_empirerampart_background.NPK          帝国城墙和远景
sprite_map_abnoba_empirerampart_obj.NPK              女鬼剑士专属地图-帝国城墙
sprite_map_abnoba_empirerampart_tile.NPK             女鬼剑士专属地图-帝国城墙的地
sprite_map_abnoba_redstone.NPK                       女鬼剑士专属地图-红石监狱
sprite_map_abnoba_rollingstone.NPK                       女鬼剑士专属地图-乱党监狱
sprite_map_act2.NPK                                         天空之城区域的置物
sprite_map_act2_amon.NPK                            天空之城蒙亚区域的背景
sprite_map_act2_fountain.NPK                                天空之城区域的喷泉
sprite_map_act2_ocean.NPK                                   天空之海的背景
sprite_map_act2_sepa.NPK                             天空之城世帕罗塔的背景
sprite_map_act2_stoneimage.NPK                               冒险家石像
sprite_map_act3.NPK                                天帷巨兽区域的背景和置物
sprite_map_act3_gbl_breeding.npk                            树精繁殖地的背景和置物
sprite_map_act3_gbl_goddess_temple.npk               GBL教女神殿的背景和置物
sprite_map_act3_gblaradsociety.NPK                  堕落之殿区域的背景和置物
sprite_map_act4.NPK                                         暗黑城区域的置物
sprite_map_act4_darkelfcemetary.NPK                         暗精灵墓地的背景
sprite_map_act4_kingsruins.NPK                              王之遗迹的背景
sprite_map_act4_magmacave.NPK                               熔岩穴的的背景
sprite_map_act4_marpissalair.NPK                            蜘蛛洞穴的背景
sprite_map_act4_noirpera.NPK                                诺斯玛尔的背景
sprite_map_act4_screamingcave.NPK                           悲鸣洞穴的背景
sprite_map_act4_shadowmaze.NPK                              暗影迷宫的背景
